transaction_id,user_id,created_at,type,status,method,channel,provider,amount,currency,processing_time_min,reject_reason
143,7256,2026-01-08 08:21:57,deposit,approved,pix,email,ProviderA,1758.72,BRL,13,
144,7081,2025-10-16 11:00:10,withdraw,approved,pix,app,ProviderC,3266.75,BRL,121,
145,8167,2025-10-20 17:07:42,deposit,approved,bank_transfer,chat,ProviderB,350.57,BRL,32,
146,7326,2025-12-09 03:34:43,withdraw,pending,pix,chat,ProviderA,267.64,BRL,339,
147,8740,2025-11-23 16:35:06,withdraw,approved,pix,email,ProviderC,2778.54,BRL,148,
148,3449,2025-09-20 14:29:28,deposit,approved,pix,chat,ProviderC,1406.53,BRL,23,
149,7878,2025-11-14 12:40:10,deposit,approved,pix,chat,ProviderA,311.17,BRL,19,
150,3352,2025-12-25 15:23:30,withdraw,approved,pix,chat,ProviderB,1911.45,BRL,18,
151,2108,2025-10-25 22:57:53,deposit,denied,pix,email,ProviderC,879.44,BRL,16,Conta bancaria invalida
152,5155,2025-12-19 21:00:25,deposit,approved,pix,email,ProviderA,107.62,BRL,11,
153,3185,2025-10-09 17:07:39,deposit,approved,card,email,ProviderC,1075.41,BRL,16,
154,3209,2025-12-18 19:19:06,withdraw,approved,pix,chat,ProviderB,4326.41,BRL,781,
155,6080,2025-09-28 02:10:15,deposit,approved,card,email,ProviderC,1115.97,BRL,40,
156,6438,2025-10-26 16:37:31,deposit,approved,card,crm,ProviderB,365.74,BRL,26,
157,7018,2025-12-03 15:54:50,withdraw,pending,pix,app,ProviderA,1045.88,BRL,474,
158,6262,2026-01-14 13:39:17,deposit,approved,pix,email,ProviderB,1864.58,BRL,10,
159,1693,2025-12-11 07:51:49,deposit,approved,pix,app,ProviderC,234.29,BRL,32,
160,9406,2025-09-30 17:19:36,deposit,approved,pix,email,ProviderA,139.77,BRL,21,
161,6933,2025-12-13 16:03:08,withdraw,approved,pix,email,ProviderC,219.65,BRL,524,
162,9674,2025-11-30 14:50:19,withdraw,approved,bank_transfer,chat,ProviderB,1145.78,BRL,287,
163,2929,2025-09-24 14:47:01,withdraw,approved,pix,app,ProviderB,2499.48,BRL,242,
164,3009,2025-11-14 00:54:12,withdraw,approved,crypto,chat,ProviderA,2309.48,BRL,100,
165,5914,2025-11-20 15:24:21,withdraw,denied,card,email,ProviderC,2196.92,BRL,692,Falha no provedor
166,4878,2025-12-27 08:59:33,withdraw,denied,crypto,chat,ProviderC,716.24,BRL,61,Limite excedido
167,6067,2026-01-04 16:52:47,deposit,approved,card,crm,ProviderB,195.64,BRL,22,
168,8372,2026-01-09 05:14:58,withdraw,approved,crypto,crm,ProviderA,319.14,BRL,473,
169,3034,2025-10-14 15:21:21,withdraw,approved,bank_transfer,crm,ProviderA,1336.48,BRL,278,
170,2292,2025-11-02 08:47:11,withdraw,approved,bank_transfer,email,ProviderC,1066.83,BRL,599,
171,3526,2025-11-17 09:17:01,deposit,approved,pix,chat,ProviderC,798.96,BRL,19,
172,1744,2026-01-07 00:40:09,withdraw,pending,bank_transfer,crm,ProviderB,237.22,BRL,773,
173,5949,2025-12-09 11:27:14,withdraw,approved,pix,email,ProviderC,1994.4,BRL,824,
174,8933,2025-10-03 18:05:52,deposit,approved,pix,app,ProviderA,920.67,BRL,10,
175,3142,2025-11-20 14:08:28,withdraw,approved,bank_transfer,app,ProviderA,2492.51,BRL,470,
176,1829,2025-10-13 09:00:44,deposit,approved,pix,crm,ProviderC,344.54,BRL,12,
177,4110,2025-10-20 14:16:23,deposit,approved,bank_transfer,email,ProviderC,1164.65,BRL,15,
178,9281,2025-11-18 11:55:18,deposit,approved,pix,app,ProviderC,628.71,BRL,8,
179,5681,2025-11-13 05:14:04,deposit,approved,card,app,ProviderB,625.34,BRL,28,
180,1838,2025-11-29 14:39:58,withdraw,approved,pix,app,ProviderC,2636.53,BRL,190,
181,3108,2025-12-26 12:01:11,deposit,pending,pix,crm,ProviderB,566.01,BRL,12,
182,1742,2025-10-28 05:41:45,withdraw,approved,pix,crm,ProviderB,1933.45,BRL,695,
183,3662,2025-12-28 16:26:59,deposit,approved,bank_transfer,email,ProviderB,206.05,BRL,19,
184,8780,2025-12-27 13:27:31,deposit,approved,pix,email,ProviderC,677.27,BRL,11,
185,8775,2026-01-10 22:16:04,withdraw,approved,bank_transfer,crm,ProviderC,953.16,BRL,623,
186,3421,2026-01-10 21:26:04,withdraw,denied,pix,app,ProviderC,1494.29,BRL,228,Limite excedido
187,7723,2025-12-14 05:24:27,deposit,approved,pix,chat,ProviderB,397.62,BRL,18,
188,9609,2025-12-29 07:15:28,withdraw,approved,pix,app,ProviderB,669.83,BRL,1150,
189,5571,2025-11-09 22:02:09,deposit,approved,pix,chat,ProviderB,792.2,BRL,8,
190,5715,2025-12-23 12:56:18,withdraw,approved,pix,email,ProviderB,980.62,BRL,648,
191,6674,2025-10-18 00:38:49,withdraw,pending,pix,crm,ProviderC,903.13,BRL,623,
192,3249,2026-01-02 03:58:26,deposit,approved,pix,email,ProviderA,348.69,BRL,23,
193,7771,2025-12-31 16:51:05,deposit,approved,pix,crm,ProviderC,297.97,BRL,14,
194,8822,2026-01-04 10:50:51,deposit,approved,pix,app,ProviderB,1712.53,BRL,24,
195,9767,2025-10-01 01:44:11,deposit,approved,pix,chat,ProviderA,1413.12,BRL,28,
196,9116,2025-10-23 17:15:13,deposit,approved,pix,app,ProviderB,1502.8,BRL,23,
197,5662,2026-01-07 20:54:46,deposit,approved,bank_transfer,email,ProviderC,780.96,BRL,19,
198,2845,2025-10-15 15:26:09,withdraw,approved,pix,chat,ProviderC,3122.99,BRL,718,
199,3875,2025-09-22 07:39:21,withdraw,approved,bank_transfer,chat,ProviderB,2503.94,BRL,603,
200,8822,2025-10-06 10:14:46,deposit,approved,pix,chat,ProviderB,502.8,BRL,8,
201,5285,2025-11-10 10:18:09,deposit,approved,pix,crm,ProviderA,1585.31,BRL,21,
202,2923,2025-10-20 14:21:11,deposit,approved,pix,email,ProviderB,508.54,BRL,34,
203,7813,2025-10-15 12:29:40,deposit,approved,pix,email,ProviderC,602.78,BRL,32,
204,9653,2026-01-13 06:42:55,withdraw,approved,pix,app,ProviderC,3267.66,BRL,103,
205,3695,2026-01-03 22:14:57,deposit,approved,pix,chat,ProviderA,1397.24,BRL,15,
206,8429,2025-12-23 12:07:20,withdraw,approved,pix,crm,ProviderC,362.78,BRL,375,
207,4570,2025-11-18 10:11:35,deposit,approved,pix,crm,ProviderB,982.52,BRL,3,
208,1519,2025-10-01 06:49:49,deposit,approved,pix,app,ProviderA,1505.29,BRL,7,
209,7154,2025-12-02 20:30:11,deposit,approved,bank_transfer,app,ProviderC,563.64,BRL,37,
210,9664,2025-11-26 02:44:38,withdraw,approved,crypto,app,ProviderA,433.96,BRL,1236,
211,4762,2025-12-18 11:46:24,withdraw,approved,pix,app,ProviderB,2220.91,BRL,314,
212,4943,2025-10-11 11:54:46,withdraw,approved,pix,crm,ProviderA,212.1,BRL,120,
213,4839,2025-09-29 00:52:01,deposit,approved,pix,app,ProviderA,319.05,BRL,24,
214,6253,2025-11-14 18:05:03,deposit,approved,bank_transfer,email,ProviderC,307.32,BRL,30,
215,7999,2025-11-12 00:19:44,deposit,approved,bank_transfer,chat,ProviderB,125.66,BRL,3,
216,7167,2025-11-20 11:25:44,withdraw,approved,pix,email,ProviderA,2319.73,BRL,493,
217,7824,2025-10-17 14:44:48,deposit,approved,bank_transfer,app,ProviderA,1147.57,BRL,5,
218,9775,2025-10-04 22:30:49,deposit,approved,card,crm,ProviderB,1460.59,BRL,7,
219,8854,2026-01-14 15:50:21,withdraw,approved,pix,chat,ProviderB,232.83,BRL,1015,
220,4974,2025-10-26 11:35:36,deposit,approved,pix,app,ProviderB,1623.34,BRL,22,
221,6053,2025-11-13 13:10:13,deposit,approved,pix,email,ProviderB,477.81,BRL,15,
222,7073,2025-12-19 18:00:10,deposit,approved,pix,chat,ProviderA,1055.65,BRL,3,
223,5836,2026-01-05 00:38:15,deposit,approved,pix,app,ProviderB,1505.95,BRL,10,
224,8550,2025-11-24 03:10:56,deposit,approved,card,app,ProviderA,333.12,BRL,26,
225,9584,2025-12-23 09:44:16,withdraw,approved,bank_transfer,crm,ProviderC,606.67,BRL,895,
226,3474,2025-12-08 15:54:21,withdraw,approved,pix,crm,ProviderB,483.07,BRL,461,
227,1108,2026-01-17 07:12:26,deposit,approved,pix,crm,ProviderA,1428.67,BRL,12,
228,3937,2025-11-14 06:05:03,deposit,approved,card,app,ProviderA,71.26,BRL,5,
229,2294,2025-12-30 19:28:53,deposit,approved,pix,app,ProviderC,327.62,BRL,12,
230,1519,2025-11-02 10:35:23,withdraw,approved,bank_transfer,crm,ProviderC,930.71,BRL,343,
231,6427,2025-09-21 10:03:35,deposit,approved,pix,app,ProviderA,945.62,BRL,29,
232,5593,2026-01-07 15:25:28,deposit,approved,pix,crm,ProviderA,599.19,BRL,17,
233,7525,2025-11-19 15:37:25,withdraw,pending,pix,chat,ProviderC,153.92,BRL,274,
234,3292,2025-12-04 03:37:12,deposit,approved,pix,app,ProviderA,900.78,BRL,21,
235,6347,2025-12-13 10:59:52,deposit,approved,pix,app,ProviderB,305.1,BRL,9,
236,2404,2026-01-04 23:21:41,deposit,approved,pix,app,ProviderA,1530.75,BRL,9,
237,7383,2025-10-19 12:44:26,deposit,approved,card,chat,ProviderA,477.0,BRL,5,
238,8353,2025-11-10 23:13:17,deposit,approved,pix,app,ProviderA,167.32,BRL,15,
239,7311,2026-01-05 04:52:13,deposit,approved,pix,email,ProviderA,157.98,BRL,12,
240,5933,2025-10-22 12:19:57,deposit,approved,pix,email,ProviderA,914.97,BRL,6,
241,5040,2025-11-16 18:57:56,deposit,approved,pix,email,ProviderC,610.9,BRL,15,
242,7224,2025-10-15 21:26:45,deposit,approved,bank_transfer,email,ProviderB,387.11,BRL,10,
243,8848,2026-01-13 00:05:26,withdraw,approved,pix,chat,ProviderB,479.49,BRL,1178,
244,7161,2025-12-23 22:16:43,withdraw,approved,bank_transfer,email,ProviderB,4126.75,BRL,795,
245,8563,2025-10-28 09:09:16,withdraw,pending,pix,crm,ProviderB,1894.22,BRL,202,
246,4965,2025-12-08 00:45:24,withdraw,approved,pix,email,ProviderB,2218.68,BRL,159,
247,9907,2026-01-13 16:35:33,deposit,approved,pix,app,ProviderC,604.19,BRL,37,
248,7547,2025-11-06 18:51:32,deposit,denied,pix,crm,ProviderB,868.2,BRL,10,Conta bancaria invalida
249,8303,2025-11-08 19:49:37,deposit,approved,card,chat,ProviderC,293.94,BRL,14,
250,2901,2025-09-24 08:29:20,deposit,approved,pix,crm,ProviderB,608.94,BRL,23,
251,8178,2025-10-29 18:05:25,deposit,approved,pix,crm,ProviderA,661.49,BRL,13,
252,3692,2025-10-11 22:21:18,deposit,denied,pix,crm,ProviderA,80.31,BRL,23,Limite excedido
253,4022,2025-12-11 09:02:39,deposit,approved,pix,app,ProviderB,1605.79,BRL,20,
254,4519,2025-10-27 21:37:02,withdraw,approved,pix,crm,ProviderA,1391.63,BRL,747,
255,2867,2026-01-01 20:06:10,withdraw,approved,pix,app,ProviderC,614.52,BRL,924,
256,8501,2026-01-16 06:55:21,deposit,approved,pix,email,ProviderC,492.48,BRL,26,
257,4908,2026-01-12 04:24:10,withdraw,approved,pix,crm,ProviderC,347.02,BRL,181,
258,4043,2025-12-09 19:09:15,deposit,approved,pix,app,ProviderC,771.24,BRL,16,
259,1878,2025-12-23 15:54:58,deposit,approved,pix,app,ProviderB,368.86,BRL,35,
260,7703,2025-12-03 03:19:42,deposit,approved,pix,app,ProviderB,1632.14,BRL,12,
261,1535,2026-01-07 08:57:49,deposit,approved,card,email,ProviderA,92.19,BRL,16,
262,5389,2025-12-24 18:20:46,deposit,approved,pix,crm,ProviderB,702.09,BRL,27,
263,5055,2025-12-14 06:56:10,withdraw,approved,crypto,crm,ProviderB,1724.18,BRL,1403,
264,4438,2025-10-06 11:23:20,deposit,approved,crypto,chat,ProviderB,551.36,BRL,18,
265,6747,2025-10-16 14:54:03,deposit,approved,card,crm,ProviderA,1102.83,BRL,18,
266,3221,2025-11-15 09:47:43,withdraw,pending,pix,crm,ProviderA,899.9,BRL,795,
267,6277,2025-10-14 05:21:38,withdraw,denied,pix,chat,ProviderB,2342.42,BRL,760,Falha no provedor
268,2525,2025-11-10 18:19:53,deposit,approved,pix,crm,ProviderC,819.99,BRL,24,
269,8511,2025-12-23 08:28:15,deposit,approved,pix,crm,ProviderA,413.57,BRL,21,
270,5646,2025-12-12 00:18:03,deposit,approved,pix,email,ProviderC,1190.51,BRL,17,
271,1266,2025-09-28 23:37:20,withdraw,approved,pix,app,ProviderB,249.4,BRL,914,
272,5945,2025-12-11 15:42:29,deposit,approved,pix,chat,ProviderB,272.49,BRL,34,
273,1848,2025-11-07 04:55:03,withdraw,approved,pix,chat,ProviderC,341.1,BRL,280,
274,2276,2025-10-07 07:02:16,deposit,approved,pix,app,ProviderC,947.13,BRL,8,
275,3165,2025-11-25 07:11:25,deposit,approved,crypto,app,ProviderA,1172.82,BRL,8,
276,3340,2025-11-29 22:58:49,deposit,approved,pix,chat,ProviderC,1332.73,BRL,17,
277,8248,2025-10-30 22:55:45,deposit,approved,pix,app,ProviderA,820.41,BRL,4,
278,6152,2026-01-12 01:37:56,withdraw,denied,pix,app,ProviderA,2472.82,BRL,232,Falha no provedor
279,5942,2026-01-14 02:15:29,deposit,approved,pix,crm,ProviderA,978.67,BRL,18,
280,9108,2025-09-30 04:19:46,deposit,approved,card,chat,ProviderC,1100.64,BRL,8,
281,7337,2025-09-21 22:15:18,deposit,approved,bank_transfer,chat,ProviderB,1778.47,BRL,17,
